Date,Holiday,Year
1/1/06,New Year's Day,2006
2/14/06,Valentine's Day,2006
4/16/06,Easter,2006
5/29/06,Memorial Day,2006
7/4/06,4th of July,2006
9/4/06,Labor Day,2006
11/23/06,Thanksgiving Day,2006
12/24/06,Christmas Eve,2006
12/25/06,Christmas Day,2006
12/31/06,New Year,2006
1/1/07,New Year's Day,2007
2/14/07,Valentine's Day,2007
4/8/07,Easter,2007
5/28/07,Memorial Day,2007
7/4/07,4th of July,2007
9/3/07,Labor Day,2007
11/22/07,Thanksgiving Day,2007
12/24/07,Christmas Eve,2007
12/25/07,Christmas Day,2007
12/31/07,New Year,2007
1/1/08,New Year's Day,2008
2/14/08,Valentine's Day,2008
3/23/08,Easter,2008
5/26/08,Memorial Day,2008
7/4/08,4th of July,2008
9/1/08,Labor Day,2008
11/27/08,Thanksgiving Day,2008
12/24/08,Christmas Eve,2008
12/25/08,Christmas Day,2008
12/31/08,New Year,2008
1/1/09,New Year's Day,2009
2/14/09,Valentine's Day,2009
4/12/09,Easter,2009
5/25/09,Memorial Day,2009
7/4/09,4th of July,2009
9/7/09,Labor Day,2009
11/26/09,Thanksgiving Day,2009
12/24/09,Christmas Eve,2009
12/25/09,Christmas Day,2009
12/31/09,New Year,2009
1/1/10,New Year's Day,2010
2/14/10,Valentine's Day,2010
4/4/10,Easter,2010
5/31/10,Memorial Day,2010
7/4/10,4th of July,2010
9/6/10,Labor Day,2010
11/25/10,Thanksgiving Day,2010
12/24/10,Christmas Eve,2010
12/25/10,Christmas Day,2010
12/31/10,New Year,2010
1/1/11,New Year's Day,2011
2/14/11,Valentine's Day,2011
4/24/11,Easter,2011
5/30/11,Memorial Day,2011
7/4/11,4th of July,2011
9/5/11,Labor Day,2011
11/24/11,Thanksgiving Day,2011
12/24/11,Christmas Eve,2011
12/25/11,Christmas Day,2011
12/31/11,New Year,2011
1/1/12,New Year's Day,2012
2/14/12,Valentine's Day,2012
4/8/12,Easter,2012
5/28/12,Memorial Day,2012
7/4/12,4th of July,2012
9/3/12,Labor Day,2012
11/22/12,Thanksgiving Day,2012
12/24/12,Christmas Eve,2012
12/25/12,Christmas Day,2012
12/31/12,New Year,2012
1/1/13,New Year's Day,2013
2/14/13,Valentine's Day,2013
3/31/13,Easter,2013
5/27/13,Memorial Day,2013
7/4/13,4th of July,2013
9/2/13,Labor Day,2013
11/28/13,Thanksgiving Day,2013
12/24/13,Christmas Eve,2013
12/25/13,Christmas Day,2013
12/31/13,New Year,2013
1/1/14,New Year's Day,2014
2/14/14,Valentine's Day,2014
4/20/14,Easter,2014
5/26/14,Memorial Day,2014
7/4/14,4th of July,2014
9/1/14,Labor Day,2014
11/27/14,Thanksgiving Day,2014
12/24/14,Christmas Eve,2014
12/25/14,Christmas Day,2014
12/31/14,New Year,2014
1/1/15,New Year's Day,2015
2/14/15,Valentine's Day,2015
4/5/15,Easter,2015
5/25/15,Memorial Day,2015
7/4/15,4th of July,2015
9/7/15,Labor Day,2015
11/26/15,Thanksgiving Day,2015
12/24/15,Christmas Eve,2015
12/25/15,Christmas Day,2015
12/31/15,New Year,2015
1/1/16,New Year's Day,2016
2/14/16,Valentine's Day,2016
3/27/16,Easter,2016
5/30/16,Memorial Day,2016
7/4/16,4th of July,2016
9/5/16,Labor Day,2016
11/24/16,Thanksgiving Day,2016
12/24/16,Christmas Eve,2016
12/25/16,Christmas Day,2016
12/31/16,New Year,2016
1/1/17,New Year's Day,2017
2/14/17,Valentine's Day,2017
4/16/17,Easter,2017
5/29/17,Memorial Day,2017
7/4/17,4th of July,2017
9/4/17,Labor Day,2017
11/23/17,Thanksgiving Day,2017
12/24/17,Christmas Eve,2017
12/25/17,Christmas Day,2017
12/31/17,New Year,2017
1/1/18,New Year's Day,2018
2/14/18,Valentine's Day,2018
4/1/18,Easter,2018
5/28/18,Memorial Day,2018
7/4/18,4th of July,2018
9/3/18,Labor Day,2018
11/22/18,Thanksgiving Day,2018
12/24/18,Christmas Eve,2018
12/25/18,Christmas Day,2018
12/31/18,New Year,2018
1/1/19,New Year's Day,2019
2/14/19,Valentine's Day,2019
4/21/19,Easter,2019
5/27/19,Memorial Day,2019
7/4/19,4th of July,2019
9/2/19,Labor Day,2019
11/28/19,Thanksgiving Day,2019
12/24/19,Christmas Eve,2019
12/25/19,Christmas Day,2019
12/31/19,New Year,2019
1/1/20,New Year's Day,2020
2/14/20,Valentine's Day,2020
4/12/20,Easter,2020
5/25/20,Memorial Day,2020
7/4/20,4th of July,2020
9/7/20,Labor Day,2020
11/26/20,Thanksgiving Day,2020
12/24/20,Christmas Eve,2020
12/25/20,Christmas Day,2020
12/31/20,New Year,2020
1/1/21,New Year's Day,2021
2/14/21,Valentine's Day,2021
4/4/21,Easter,2021
5/31/21,Memorial Day,2021
7/4/21,4th of July,2021
9/6/21,Labor Day,2021
11/25/21,Thanksgiving Day,2021
12/24/21,Christmas Eve,2021
12/25/21,Christmas Day,2021
12/31/21,New Year,2021
